date,total_revenue
2025-01-01,2097585.489999885
2025-01-02,2326728.5499999328
2025-01-03,2381882.519999956
2025-01-04,2413046.479999908
2025-01-05,2150896.5599999423
2025-01-06,2132143.189999943
2025-01-07,2436279.239999957
2025-01-08,2584794.58999994
2025-01-09,2756691.919999968
2025-01-10,2628776.149999982
2025-01-11,2566038.379999969
2025-01-12,2305477.289999935
2025-01-13,2403631.619999961
2025-01-14,2744988.389999964
2025-01-15,2824269.509999963
2025-01-16,3067180.670000005
2025-01-17,2702952.7299999646
2025-01-18,2367390.279999958
2025-01-19,1994575.8799999864
2025-01-20,2882658.149999897
2025-01-21,2558311.479999935
2025-01-22,2665800.1999999937
2025-01-23,2912062.840000016
2025-01-24,2778626.6099999533
2025-01-25,2654008.539999969
2025-01-26,2231252.299999979
2025-01-27,2264246.4599999427
2025-01-28,2557235.1599999443
2025-01-29,2721227.579999944
2025-01-30,2958629.9299999755
2025-01-31,2723043.379999997
2025-02-01,2650959.339999964
2025-02-02,2360723.8599999547
2025-02-03,2297559.129999988
2025-02-04,2643264.359999971
2025-02-05,2861741.909999982
2025-02-06,2739662.970000015
2025-02-07,2861046.469999959
2025-02-08,2555470.869999953
2025-02-09,2136764.909999978
2025-02-10,2478203.449999961
2025-02-11,2638539.6899999934
2025-02-12,2651382.59999996
2025-02-13,2928582.5899999384
2025-02-14,2963310.6399999512
2025-02-15,2385541.179999948
2025-02-16,1974846.7899999227
2025-02-17,2127957.489999977
2025-02-18,2678699.9999999786
2025-02-19,2690042.719999985
2025-02-20,2931336.6499999706
2025-02-21,2910937.529999979
2025-02-22,2546526.669999955
2025-02-23,2307681.1999999583
2025-02-24,2345507.539999943
2025-02-25,2633183.779999979
2025-02-26,2921096.2299999767
2025-02-27,3187166.219999973
2025-02-28,3036035.839999952
2025-03-01,2881436.469999931
2025-03-02,2508926.089999961
2025-03-03,2602855.7999999486
2025-03-04,2774918.019999988
2025-03-05,2942403.909999948
2025-03-06,3163669.5999999386
2025-03-07,2908411.1899999566
2025-03-08,2677863.4399999827
2025-03-09,2417517.2499999283
2025-03-10,2542746.289999978
2025-03-11,2886632.3499999647
2025-03-12,3152339.95000002
2025-03-13,3392492.2599999667
2025-03-14,3111974.379999955
2025-03-15,2840238.689999985
2025-03-16,2465118.0799999246
2025-03-17,2755194.909999961
2025-03-18,2839809.910000029
2025-03-19,2939284.2399999658
2025-03-20,3262139.409999949
2025-03-21,3004712.7399999537
2025-03-22,2800431.099999952
2025-03-23,2620653.3899998884
2025-03-24,2637374.539999936
2025-03-25,2805882.7799999416
2025-03-26,3062466.71999996
2025-03-27,3278057.139999947
2025-03-28,3025242.1699999445
2025-03-29,3009928.84999999
2025-03-30,2565738.049999936
2025-03-31,2661311.809999954
2025-04-01,3021684.3599999426
2025-04-02,3121044.519999991
2025-04-03,3269284.529999997
2025-04-04,3088837.2599999416
2025-04-05,2970278.99999992
2025-04-06,2572388.06999994
2025-04-07,2821619.07999994
2025-04-08,2993711.4799999446
2025-04-09,3158643.1999999373
2025-04-10,3359638.2499999856
2025-04-11,3115504.0199999493
2025-04-12,2652538.499999972
2025-04-13,2314560.0499999644
2025-04-14,2429434.039999953
2025-04-15,2879422.849999992
2025-04-16,3149901.7999999616
2025-04-17,3216196.3899999326
2025-04-18,2793029.949999935
2025-04-19,2633972.8199999696
2025-04-20,2383761.999999925
2025-04-21,2715005.8399999524
2025-04-22,3059271.1299999505
2025-04-23,3237625.1700000074
2025-04-24,3544763.52999994
2025-04-25,3310771.8399999253
2025-04-26,3118395.0799999875
2025-04-27,2848957.759999912
2025-04-28,2779348.1699999333
2025-04-29,3051552.949999977
2025-04-30,3341807.239999953
2025-05-01,3650919.489999928
2025-05-02,3246156.44999994
2025-05-03,2965317.429999952
2025-05-04,2765886.0599999456
2025-05-05,3003643.819999935
2025-05-06,3217661.0399999367
2025-05-07,3454391.339999916
2025-05-08,3723212.4699999406
2025-05-09,3393217.669999974
2025-05-10,3038553.72999997
2025-05-11,2866646.999999915
2025-05-12,3044957.059999922
2025-05-13,3398276.469999973
2025-05-14,3467951.779999956
2025-05-15,3785806.3899999615
2025-05-16,3547653.96999994
2025-05-17,3225684.0699999314
2025-05-18,2962384.079999963
2025-05-19,3101022.4799999185
2025-05-20,3301576.059999958
2025-05-21,3561046.6200000225
2025-05-22,3491649.459999954
2025-05-23,2934158.679999923
2025-05-24,2248372.6599999587
2025-05-25,2124820.709999897
2025-05-26,2147267.0399999665
2025-05-27,2930069.869999931
2025-05-28,3328539.729999876
2025-05-29,3337334.309999939
2025-05-30,3093757.4399999348
2025-05-31,2808943.61999994
2025-06-01,2701529.1299999617
2025-06-02,2763340.5199999823
2025-06-03,3121730.7599999644
2025-06-04,3437446.689999976
2025-06-05,3587773.789999895
2025-06-06,3051540.879999935
2025-06-07,2815363.3599999472
2025-06-08,2744040.369999916
2025-06-09,2939323.9899999835
2025-06-10,3153804.7499999376
2025-06-11,3629656.399999947
2025-06-12,3543021.58999994
2025-06-13,2995680.969999954
2025-06-14,2489813.099999956
2025-06-15,2359083.409999932
2025-06-16,2734818.4999999544
2025-06-17,2923755.549999996
2025-06-18,3239999.769999957
2025-06-19,2902986.879999954
2025-06-20,2930189.299999931
2025-06-21,2626530.2299999613
2025-06-22,2550584.809999933
2025-06-23,2959126.599999895
2025-06-24,3102818.5399999428
2025-06-25,3221984.039999953
2025-06-26,3321727.7899999423
2025-06-27,2997798.399999968
2025-06-28,2655838.5999999302
2025-06-29,2486973.439999942
2025-06-30,2423165.449999977
2025-07-01,2665971.999999945
2025-07-02,2420807.18999994
2025-07-03,2110570.42999997
2025-07-04,1502875.7399999476
2025-07-05,1735118.4799999874
2025-07-06,2097573.659999905
2025-07-07,2422166.689999949
2025-07-08,2828339.6499999803
2025-07-09,2993610.4099999503
2025-07-10,2884966.009999919
2025-07-11,2599360.3199999505
2025-07-12,2441812.189999963
2025-07-13,2326061.449999925
2025-07-14,2765361.75999996
2025-07-15,3072627.7199999327
2025-07-16,3118451.669999963
2025-07-17,3155002.429999961
2025-07-18,2668373.939999927
2025-07-19,2373287.559999956
2025-07-20,2363672.539999952
2025-07-21,2563795.3899999443
2025-07-22,2727956.569999975
2025-07-23,2844501.6799999583
2025-07-24,2961942.9899999658
2025-07-25,2685778.469999972
2025-07-26,2475503.68999995
2025-07-27,2231421.289999984
2025-07-28,2708885.9899999355
2025-07-29,2866621.790000002
2025-07-30,2899272.299999976
2025-07-31,2867150.88999997
2025-08-01,2532451.759999945
2025-08-02,2290162.349999961
2025-08-03,2163680.19999996
2025-08-04,2342957.8099999344
2025-08-05,2574765.3699999657
2025-08-06,2770206.679999963
2025-08-07,2679294.5599999414
2025-08-08,2440301.9199999413
2025-08-09,2131144.15999997
2025-08-10,2164224.389999933
2025-08-11,2316137.399999942
2025-08-12,2532711.859999939
2025-08-13,2790018.8599999016
2025-08-14,2766673.379999976
2025-08-15,2481706.5999999274
2025-08-16,2258206.6999999555
2025-08-17,2236835.379999917
2025-08-18,2268792.819999947
2025-08-19,2419290.5599999367
2025-08-20,2793861.739999968
2025-08-21,2664548.4299999364
2025-08-22,2527947.929999965
2025-08-23,2398179.3399999333
2025-08-24,2327137.23999996
2025-08-25,2350886.16999994
2025-08-26,2548493.199999946
2025-08-27,2676801.729999949
2025-08-28,2730886.089999943
2025-08-29,2590494.299999946
2025-08-30,2355697.819999988
2025-08-31,2230614.5599999344
2025-09-01,2216512.0199999493
2025-09-02,3149523.389999924
2025-09-03,3033564.3199999337
2025-09-04,3252966.289999934
2025-09-05,3147532.3099999256
2025-09-06,2764832.269999966
2025-09-07,2594127.2799999225
2025-09-08,2890878.839999962
2025-09-09,3123797.7100000083
2025-09-10,3447938.819999962
2025-09-11,3459239.429999893
2025-09-12,3339940.0699999155
2025-09-13,2936945.719999941
2025-09-14,2771684.2899999097
2025-09-15,2984277.319999948
2025-09-16,3238245.399999924
2025-09-17,3440410.2299999646
2025-09-18,3675740.509999935
2025-09-19,3350987.4799999227
2025-09-20,3061015.8599999086
2025-09-21,2893893.109999918
2025-09-22,2858034.699999961
2025-09-23,2708040.749999929
2025-09-24,3116486.5999999577
2025-09-25,3535564.109999936
2025-09-26,3416629.6899999348
2025-09-27,3023633.5099999346
2025-09-28,2717557.469999963
2025-09-29,2962951.2799999644
2025-09-30,3136464.8200000105
2025-10-01,3065231.439999943
2025-10-02,2900784.3999999585
2025-10-03,3124610.2199999667
2025-10-04,2877362.879999979
2025-10-05,2814226.879999884
2025-10-06,2865652.159999939
2025-10-07,3046286.9699999704
2025-10-08,3388929.7399999388
2025-10-09,3788272.91999989
2025-10-10,3509483.11999992
2025-10-11,3071044.599999916
2025-10-12,2677720.0599999414
2025-10-13,2478229.889999972
2025-10-14,3347286.979999916
2025-10-15,3478927.249999908
2025-10-16,3847133.039999891
2025-10-17,3491553.439999964
2025-10-18,3045663.4999998934
2025-10-19,2953506.6999999387
2025-10-20,3095498.3499999307
2025-10-21,3254548.7599998806
2025-10-22,3503692.279999895
2025-10-23,3799650.189999903
2025-10-24,3454518.5499998936
2025-10-25,3034425.609999918
2025-10-26,2858925.8299999107
2025-10-27,2998523.599999956
2025-10-28,3288982.9899999285
2025-10-29,3454930.3799999184
2025-10-30,3310009.799999926
2025-10-31,3512322.189999926
2025-11-01,3130558.129999944
2025-11-02,2821105.589999944
2025-11-03,3055660.3599999184
2025-11-04,2950197.5099999458
2025-11-05,3388241.199999918
2025-11-06,3749257.15999995
2025-11-07,3455625.349999925
2025-11-08,3076755.269999956
2025-11-09,2722320.109999963
2025-11-10,3146740.209999935
2025-11-11,3009787.979999961
2025-11-12,3392410.659999951
2025-11-13,3601454.969999926
2025-11-14,3404127.649999935
2025-11-15,3016297.0899999547
2025-11-16,2813429.729999942
2025-11-17,3051221.6599999145
2025-11-18,3310211.979999963
2025-11-19,3446672.419999965
2025-11-20,3623160.349999952
2025-11-21,3360183.879999882
2025-11-22,2903316.249999962
2025-11-23,2467566.779999921
2025-11-24,2692557.349999921
2025-11-25,3089584.7599999434
2025-11-26,2656389.859999937
2025-11-27,1589444.6299999435
2025-11-28,2124764.0199999493
2025-11-29,2575488.0199999386
2025-11-30,2519130.2699998943
2025-12-01,3152870.7899999125
2025-12-02,3444137.5199999195
2025-12-03,3635447.689999883
2025-12-04,4002335.989999865
2025-12-05,3688750.859999883
2025-12-06,3212014.669999965
2025-12-07,2887267.1899998607
2025-12-08,3356337.889999917
2025-12-09,3607355.039999943
2025-12-10,3741762.029999911
2025-12-11,3948254.5799999135
2025-12-12,3823731.379999891
2025-12-13,3180472.5399999795
2025-12-14,2508007.309999938
2025-12-15,3216313.389999893
2025-12-16,3290165.469999989
2025-12-17,3366684.5299999868
2025-12-18,3512910.5299999416
2025-12-19,3232277.599999932
2025-12-20,2894351.1499999263
2025-12-21,2324262.1099999505
2025-12-22,2475093.4399999403
2025-12-23,2336086.1299999543
2025-12-24,1758286.889999946
2025-12-25,1237423.5099999672
2025-12-26,1748114.2599999716
2025-12-27,1831493.9199999413
2025-12-28,2151270.049999912
2025-12-29,2334933.56999995
2025-12-30,2454487.619999952
2025-12-31,2024511.899999977
